indicador,unidade,complemento
Detalhes organizacionais,qualitativo / descritivo,-
Período e frequência de elaboração de relatório,qualitativo / descritivo,-
"Atividades, cadeia de valor e outras relações de negócios",qualitativo / descritivo,-
Total de colaboradores no CESAR / Julho 2022,1.234,-
"Governança, estrutura e composição",qualitativo / descritivo,-
Presidente do Conselho,qualitativo / descritivo,-
Papel do presidente do Conselho em supervisionar a gestão de impacto,qualitativo / descritivo,-
Delegação de responsabilidade da gestão de impactos,qualitativo / descritivo,-
Papel do presidente do Conselho em supervisionar a gestão de impacto,qualitativo / descritivo,-
Comunicação de questões-chave,qualitativo / descritivo,-
Conhecimento coletivo do mais alto nível de governança,qualitativo / descritivo,-
Declaração de estratégia de desenvolvimento sustentável,qualitativo / descritivo,-
Processos para remediar impactos negativos,qualitativo / descritivo,-
Abordagem para engajamento das partes interessadas,qualitativo / descritivo,-
Quantidade de empresas do Porto Digital,350,-
Pessoas empregadas no Porto Digital,15.000,-
Faturamento do Porto Digital,3670000000,R$
Projetos Executados por ano,140,-
Nota do GlassDoor,4.8,-
Recomendam o CESAR para um amigo,98,%
Tem uma Perspectiva positiva do CESAR,92,%
Índice Sistema B,100.2,-
Ebitda,16.635.560,R$
